placeId	name	latitude	longitude	kinds	rank	regionId	sourceDatasetId	cityStanding
place.vancouver	Vancouver	49.275362	-123.12359	CITY,PORT	MAJOR	can-pacific	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.victoria	Victoria	48.433283	-123.350001	CITY,PORT	SECONDARY	can-pacific	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.winnipeg	Winnipeg	49.882987	-97.165992	CITY	SECONDARY	can-prairies-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.mexico-city	Mexico City	19.444388	-99.132934	CITY	GLOBAL	mex-central-south	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.veracruz	Veracruz	19.177342	-96.159981	CITY,PORT	MAJOR	mex-central-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.acapulco	Acapulco	16.849991	-99.915979	PORT	SECONDARY	mex-central-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.guatemala-city	Guatemala City	14.623081	-90.528911	CITY	GLOBAL	GTM	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.havana	Havana	23.133905	-82.366128	CITY,PORT	GLOBAL	CUB	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.san-juan	San Juan	18.440023	-66.129979	CITY,PORT	MAJOR	PRI	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.kingston	Kingston	17.977077	-76.767434	CITY,PORT	GLOBAL	JAM	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.port-au-prince	Port-au-Prince	18.54297	-72.33798	CITY,PORT	GLOBAL	HTI	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.santo-domingo	Santo Domingo	18.470745	-69.929742	CITY,PORT	GLOBAL	DOM	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.panama-city	Panama City	8.969963	-79.534983	CITY,PORT	MAJOR	PAN	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.colon	Colon	9.365021	-79.87498	PORT	MAJOR	PAN	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.caracas	Caracas	10.502944	-66.918983	CITY	GLOBAL	VEN	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.cartagena	Cartagena	10.401684	-75.516339	CITY,PORT	MAJOR	col-west	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.bogota	Bogota	4.598369	-74.08529	CITY	GLOBAL	col-west	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.quito	Quito	-0.213042	-78.501997	CITY	GLOBAL	ECU	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.guayaquil	Guayaquil	-2.218088	-79.921988	CITY,PORT	MAJOR	ECU	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.lima	Lima	-12.046067	-77.052008	CITY,PORT	GLOBAL	per-north-central	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.la-paz	La Paz	-16.496028	-68.151931	CITY	GLOBAL	BOL	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.santiago	Santiago	-33.440205	-70.650504	CITY	GLOBAL	chl-central-south	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.valparaiso	Valparaiso	-33.047739	-71.617026	CITY,PORT	MAJOR	chl-central-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.buenos-aires	Buenos Aires	-34.610715	-58.432513	CITY,PORT	GLOBAL	arg-pampas	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.montevideo	Montevideo	-34.905376	-56.186823	CITY,PORT	GLOBAL	URY	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.rio-de-janeiro	Rio de Janeiro	-22.907308	-43.212117	CITY,PORT	GLOBAL	bra-central-southeast	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.sao-paulo	Sao Paulo	-23.556734	-46.626966	CITY	MAJOR	bra-central-southeast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.bahia	Bahia	-12.968026	-38.481933	CITY,PORT	MAJOR	bra-northeast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.recife	Recife	-8.060532	-34.908766	CITY,PORT	MAJOR	bra-northeast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.belem	Belem	-1.448057	-48.481969	CITY,PORT	MAJOR	bra-amazon	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.manaus	Manaus	-3.098086	-60.001963	CITY,PORT	SECONDARY	bra-amazon	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.asuncion	Asuncion	-25.290671	-57.625834	CITY,PORT	GLOBAL	PRY	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.cairo	Cairo	30.051906	31.248022	CITY	GLOBAL	egy-delta	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.alexandria	Alexandria	31.201965	29.94805	CITY,PORT	MAJOR	egy-delta	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.port-said	Port Said	31.25999	32.290008	PORT	MAJOR	egy-delta	curated-natural-earth-populated-places-5.1.2	ORDINARY
