# Reviewed cumulative GRAND/THEATRE label geometry. Reference-derived lines retain measured
# cap height, tracking, angle and curvature; rejected or absent reference titles use the explicit
# reviewed paths recorded in grand-theatre-layout-fallbacks.tsv. Runtime consumes shaped glyphs.
labelKey	fontFace	text	capHeightMapUnits	trackingMapUnits	pathMapCoordinates
water.south-atlantic	SERIF	SOUTH	1.596638655462185	5.347238372093023	-28.517441860465112,-19.83613445378151;-7.129360465116292,-19.873949579831933
water.south-atlantic	SERIF	ATLANTIC	1.375	6.185755813953489	-37.73982558139534,-34.982142857142854;-26.91279069767444,-34.97142857142856;-16.090116279069775,-35.03928571428571;-5.263081395348877,-35.18214285714285;5.559593023255843,-35.40714285714286
water.south-atlantic	SERIF	OCEAN	1.165644171779141	7.412790697674419	-34.665697674418595,-48.095092024539866;-27.213662790697697,-48.07668711656442;-19.76162790697674,-48.08895705521472;-12.313953488372078,-48.13803680981596;-4.86191860465118,-48.21779141104293
water.pacific-west	SERIF	NORTH PACIFIC	1.5	5.282267441860466	158.63372093023256,40.06748466257668;173.15843023255815,39.853571428571435;187.6875,39.69285714285714;202.21220930232556,39.59285714285714;216.73691860465115,39.560714285714276
water.pacific-west	SERIF	OCEAN	1.6535433070866141	5.6686046511627906	176.03197674418604,29.64566929133858;181.72238372093022,29.649606299212596;187.4127906976744,29.629921259842515;193.1031976744186,29.586614173228348;198.79360465116278,29.519685039370085
water.pacific-east	SERIF	SOUTH PACIFIC	1.2576687116564418	5.266133720930233	-173.13226744186048,-42.56748466257668;-158.65116279069767,-42.598159509202446;-144.1656976744186,-42.647239263803684;-129.68459302325584,-42.714723926380366;-115.20348837209303,-42.80061349693252
water.pacific-east	SERIF	OCEAN	1.019900497512438	4.371366279069767	-157.19476744186048,-53.78109452736319;-139.7093023255814,-53.830845771144276
water.indian	SERIF	INDIAN	1.6304347826086956	5.654178674351586	59.186217008797655,-3.1652173913043558;66.26801152737752,-3.1043478260869604;73.335734870317,-3.1478260869565258;80.466472303207,-3.291304347826079;87.61661807580175,-3.53478260869566
water.indian	SERIF	OCEAN	1.512605042016807	5.570553935860058	68.86167146974063,-18.41596638655463;74.36887608069165,-18.47478991596638;79.932944606414,-18.495798319327726;85.5,-18.478991596638664;91.06521739130434,-18.43277310924369
water.north-sea	SERIF	NORTH SEA	0.3855721393034826	1.177840909090909	-2.024147727272727,55.982587064676615;0.038352272727271756,56.09452736318408;2.100852272727273,56.124378109452735;4.15909090909091,56.07213930348259;6.221590909090908,55.93532338308457
islands.caribbean	SERIF	CARIBBEAN	0.9243697478991597	1.6896802325581395	-66.62790697674416,17.222689075630257;-61.99273255813955,16.949579831932777;-57.36191860465118,16.827731092436974;-52.72674418604652,16.85714285714285;-48.095930232558146,17.042016806722685
water.arctic	SERIF	ARCTIC OCEAN	0.44565217391304346	12.414244186046512	98.04347826086956,78.39239130434783;222.12209302325581,78.17717391304348
