# Development-authored label deltas. The build prepares immutable glyphs.
labelKey	trackingDeltaMapUnits	offsetMapX	offsetMapY	rotationDeltaDegrees	fontScaleMultiplier	hidden	minimumBandOverride
place.washington	0.0	-0.2979146083816886	0.2979146083816886	0.0	0.9070294784580498	false	DEFAULT
political.belgian-empire	-0.1231380389072001	0.0	0.0	-21.0	0.5568374181775592	false	DEFAULT
political.bhutan	0.129096326418221	0.0	0.0	0.0	1.2762815625000004	false	DEFAULT
political.bulgaria	0.12512413377407938	0.0	0.0	0.0	1.3400956406250004	false	DEFAULT
political.dominican-republic	0.0	1.0427011147839949	0.41708044591359794	0.0	1.0	false	DEFAULT
political.ecuador	0.20854022295679897	0.0	0.6256206688703969	0.0	1.477455443789063	false	DEFAULT
political.french-empire	0.1416087383404374	0.0	1.7701092292554677	0.0	1.05	false	DEFAULT
political.german-empire	0.0708043691702187	0.0	0.35402184585109353	0.0	1.0	false	DEFAULT
political.italian-empire	0.143892751657404	0.47964250552468	1.67874876933638	-96.0	1.2762815625000004	false	DEFAULT
political.japanese-empire	-1.3	0.0	0.0	0.0	1.0	false	DEFAULT
political.luxembourg	-0.0258192652836442	0.0	0.0	0.0	0.644608916217797	false	DEFAULT
political.nepal	0.25024826754815876	0.0	0.20854022295679897	-24.0	1.2155062500000002	false	DEFAULT
political.peru	0.2462760778144002	-0.30784509726800025	0.0	-66.0	1.79585632602213	false	DEFAULT
political.qing-empire	-3.800000000000002	0.0	0.0	0.0	1.7103393581163142	false	DEFAULT
political.russian-empire	-2.400000000000001	-9.5	0.0	0.0	1.79585632602213	false	DEFAULT
political.spanish-empire	-0.7999999999999999	-1.0	0.0	0.0	1.0	false	DEFAULT
political.united-states	-1.8000000000000005	0.0	2.0	0.0	1.0	false	DEFAULT
political.venezuela	0.0	0.0	0.9235352918040007	0.0	1.2155062500000002	false	DEFAULT
region.sahara	-3.9000000000000017	-3.5	-0.5	0.0	1.0	false	DEFAULT
water.adriatic	0.0	0.8043694251682609	0.0	-87.0	1.0	false	DEFAULT
water.arabian	-0.6	0.0	2.0	0.0	1.0	false	DEFAULT
water.atlantic	1.2	3.5	0.0	-57.0	2.182874588381937	false	DEFAULT
water.bay-of-bengal	-0.7999999999999999	3.5	6.5	40.0	0.7835261664684589	false	DEFAULT
water.black	-0.6	0.0	-1.0	0.0	0.7462153966366274	false	DEFAULT
water.caribbean	-1.314329111482948	-4.224629286909476	-0.4694032541010529	-17.0	1.0	false	DEFAULT
water.caspian	-0.4	0.5	-1.0	0.0	0.8227024747918817	false	DEFAULT
water.coral	0.0	2.0	1.5	0.0	0.7106813301301212	false	DEFAULT
water.east-china	0.10724925668910146	0.0	0.0	34.0	1.0	false	DEFAULT
water.gulf-of-guinea	0.0	-3.5	0.5	0.0	1.4071004226562505	false	DEFAULT
water.indian	-0.6	2.0	-5.0	0.0	1.9799315994393987	false	DEFAULT
water.java	0.48262165510095656	0.0	0.5362462834455073	-12.0	1.628894626777442	false	DEFAULT
water.mediterranean	-0.7	-2.0	1.5	-13.0	1.0	false	DEFAULT
water.north-atlantic	-4.300000000000001	-2.5	0.0	0.0	1.0	false	DEFAULT
water.north-sea	-0.30000000000000004	1.0	0.0	3.0	1.2762815625000004	false	DEFAULT
water.norwegian	-0.9999999999999999	1.5	0.0	18.0	1.0	false	DEFAULT
water.pacific-east	-0.9999999999999999	7.5	28.5	0.0	2.182874588381937	false	DEFAULT
water.pacific-west	0.0	-2.5	-2.0	0.0	1.477455443789063	false	DEFAULT
water.philippine	0.10724925668910146	-4.826216551009566	-3.2174777006730437	-46.0	1.1576250000000001	false	DEFAULT
water.rio-de-la-plata	0.0	0.8043694106163457	-0.4826216463698074	-12.0	1.1025	false	REGIONAL
water.south-atlantic	-2.2000000000000006	0.0	0.0	0.0	1.0	false	DEFAULT
water.south-china	-1.4000000000000001	0.0	-2.0	0.0	1.0	false	DEFAULT
water.southern	1.2	0.0	-12.5	0.0	1.79585632602213	false	DEFAULT
water.tasman	0.7999999999999999	9.0	7.0	61.0	1.0	false	DEFAULT
