labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.pacific-east	DEFAULT	SERIF	0	11	I	-117.30263936632359	-14.243679514297803	-0.33982575	0.0027262494
water.pacific-east	DEFAULT	SERIF	0	12	C	-113.7033828393362	-14.265027236313536	-0.33982575	0.0027262494
water.pacific-east	DEFAULT	SERIF	1	0	O	-147.69477553749525	-25.286785087400936	-0.16302276	0.0022108392
water.pacific-east	DEFAULT	SERIF	1	1	C	-144.25278397051193	-25.29657855633549	-0.16302276	0.0022108392
water.pacific-east	DEFAULT	SERIF	1	2	E	-140.85714442489203	-25.306240140261593	-0.16302276	0.0022108392
water.pacific-east	DEFAULT	SERIF	1	3	A	-137.58919157963177	-25.31553841831537	-0.16302276	0.0022108392
water.pacific-east	DEFAULT	SERIF	1	4	N	-134.20929422994664	-25.325155211106527	-0.16302276	0.0022108392
water.indian	DEFAULT	SERIF	0	0	I	62.686161603542644	-8.152325041042069	0.49245757	0.0032057094
water.indian	DEFAULT	SERIF	0	1	N	67.43334688486688	-8.111521950344109	0.49245757	0.0032057094
water.indian	DEFAULT	SERIF	0	2	D	72.81130544641421	-8.132296644697584	-0.35245994	0.0032057094
water.indian	DEFAULT	SERIF	0	3	I	78.13574160337767	-8.20416529458026	-1.1526984	0.0032057094
water.indian	DEFAULT	SERIF	0	4	A	82.88198482460972	-8.305453467727375	-1.9502943	0.0032057094
water.indian	DEFAULT	SERIF	0	5	N	88.11748698490744	-8.483733883794654	-1.9502943	0.0032057094
water.indian	DEFAULT	SERIF	1	0	O	72.06160302283139	-23.42878309038924	-0.61196417	0.0029740361
water.indian	DEFAULT	SERIF	1	1	C	77.1144690856135	-23.477605071476297	-0.21633218	0.0029740361
water.indian	DEFAULT	SERIF	1	2	E	82.10054604025228	-23.49529233714834	0.1729732	0.0029740361
water.indian	DEFAULT	SERIF	1	3	A	86.90207428076585	-23.483957300542677	0.47582388	0.0029740361
water.indian	DEFAULT	SERIF	1	4	N	91.86525877182552	-23.442738626715443	0.47582388	0.0029740361
water.north-sea	DEFAULT	SERIF	0	0	N	0.17916344428982833	55.89456199589172	6.106628	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	1	O	0.953908173089153	55.97744896981112	6.106628	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	2	R	1.7229649237921763	56.03236305675829	3.829189	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	3	T	2.4784007871386633	56.082925615267015	3.829189	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	4	H	3.222099162948527	56.12774198640654	1.5461255	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	5	\s	4.006001405322337	56.14890070901387	1.5461255	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	6	S	4.619640422284343	56.18738711706476	-0.79515505	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	7	E	5.307511706647849	56.17784017783342	-0.79515505	4.886779E-4
water.north-sea	DEFAULT	SERIF	0	8	A	6.022999957203391	56.16790994376024	-0.79515505	4.886779E-4
islands.caribbean	DEFAULT	SERIF	0	0	C	-58.37211158509519	19.487310881073366	-78.372025	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	1	A	-58.14495184496994	18.38341130053076	-78.372025	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	2	R	-57.834364526306096	17.31553659134668	-76.507256	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	3	I	-57.57074146804025	16.216854845674945	-76.507256	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	4	B	-57.38913851521084	15.46124607507829	-74.636444	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	5	B	-57.12135766969054	14.486652987155637	-74.636444	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	6	E	-56.85357682417025	13.51205989923299	-74.636444	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	7	A	-56.64359636396141	12.543198614561527	-72.71382	9.179441E-4
islands.caribbean	DEFAULT	SERIF	0	8	N	-56.31376365303309	11.483327359496172	-72.71382	9.179441E-4
water.arctic	DEFAULT	SERIF	0	0	A	98.04347826086956	78.39239130434783	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	1	R	109.35368680201294	78.37277347107337	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	2	C	120.67215862498888	78.35314130493454	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	3	T	131.98944997913162	78.33351118634775	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	4	I	143.29100174883135	78.31390836845505	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	5	C	154.4627019468766	78.29453078128854	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	6	\s	165.77999330101932	78.27490066270175	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	7	O	176.89660495351416	78.25561862796454	-0.09938083	4.425543E-4
water.arctic	DEFAULT	SERIF	0	8	C	188.2347512570438	78.23595233595809	-0.09938083	4.425543E-4
