labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.pacific-east	DEFAULT	SERIF	0	11	I	-119.80272731028762	-42.77333473148029	-0.33982575	0.0012489263
water.pacific-east	DEFAULT	SERIF	0	12	C	-115.20348837209303	-42.80061349693252	-0.33982575	0.0012489263
water.pacific-east	DEFAULT	SERIF	1	0	O	-157.19476744186048	-53.78109452736319	-0.16302276	0.0010128109
water.pacific-east	DEFAULT	SERIF	1	1	C	-152.75277992269454	-53.793733276316615	-0.16302276	0.0010128109
water.pacific-east	DEFAULT	SERIF	1	2	E	-148.35714442489203	-53.80624014026159	-0.16302276	0.0010128109
water.pacific-east	DEFAULT	SERIF	1	3	A	-144.08919562744916	-53.818383698334245	-0.16302276	0.0010128109
water.pacific-east	DEFAULT	SERIF	1	4	N	-139.7093023255814	-53.830845771144276	-0.16302276	0.0010128109
water.indian	DEFAULT	SERIF	0	0	I	59.186217008797655	-3.165217391304356	0.49245757	0.001619101
water.indian	DEFAULT	SERIF	0	1	N	64.53338012801989	-3.119257360501482	0.49245757	0.001619101
water.indian	DEFAULT	SERIF	0	2	D	70.51131112269857	-3.1304511804206285	-0.35245994	0.001619101
water.indian	DEFAULT	SERIF	0	3	I	76.43568089302933	-3.2102004021398	-1.1526984	0.001619101
water.indian	DEFAULT	SERIF	0	4	A	81.78146347914631	-3.3360827026679774	-1.9502943	0.001619101
water.indian	DEFAULT	SERIF	0	5	N	87.61661807580175	-3.53478260869566	-1.9502943	0.001619101
water.indian	DEFAULT	SERIF	1	0	O	68.86167146974063	-18.41596638655463	-0.61196417	0.0015020904
water.indian	DEFAULT	SERIF	1	1	C	74.51447336240165	-18.475339651543564	-0.21633218	0.0015020904
water.indian	DEFAULT	SERIF	1	2	E	80.10054604025228	-18.49529233714834	0.1729732	0.0015020904
water.indian	DEFAULT	SERIF	1	3	A	85.50205359050526	-18.478974541806803	0.47582388	0.0015020904
water.indian	DEFAULT	SERIF	1	4	N	91.06521739130434	-18.43277310924369	0.47582388	0.0015020904
water.north-sea	DEFAULT	SERIF	0	0	N	-2.0241477272727275	55.982587064676615	3.106628	3.8289189E-4
water.north-sea	DEFAULT	SERIF	0	1	O	-0.9465676678059132	56.041071735475356	3.106628	3.8289189E-4
water.north-sea	DEFAULT	SERIF	0	2	R	0.12304929687451893	56.09575319076106	0.829189	3.8289189E-4
